name,tags,view_url,direct_url
Nom,silly;nom,https://cdn.discordapp.com/attachments/1287170529760903251/1352366662292209684/915F8F57-AC4D-41F6-A00E-D2A00225FE20.gif?ex=691ec65a&is=691d74da&hm=c40fdc5cecd99a52b90adbb4ecb340ef22f8fb7ecc3b31ec6983bea2f5197d07&,https://cdn.discordapp.com/attachments/1287170529760903251/1352366662292209684/915F8F57-AC4D-41F6-A00E-D2A00225FE20.gif?ex=691ec65a&is=691d74da&hm=c40fdc5cecd99a52b90adbb4ecb340ef22f8fb7ecc3b31ec6983bea2f5197d07&
Rambling,gay;rambling,https://cdn.discordapp.com/attachments/937767299677577256/1324379158977187920/attachment.gif?ex=691f2135&is=691dcfb5&hm=329c0f30512d363100b987f1a9353025b61c700443abf2268e9135cf3815e7d9&,https://cdn.discordapp.com/attachments/937767299677577256/1324379158977187920/attachment.gif?ex=691f2135&is=691dcfb5&hm=329c0f30512d363100b987f1a9353025b61c700443abf2268e9135cf3815e7d9&
Excited,excited,https://tenor.com/view/hololive-vtuber-inugami-korone-anime-happy-gif-17696771,https://c.tenor.com/j76vM3i122kAAAAC/hololive-vtuber.gif
Girlkisser,girlkisser,https://tenor.com/view/girlkisser-girlkisser-meme-gif-gif-1616789843951133615,https://c.tenor.com/Fm_9zAUqo68AAAAC/girlkisser-girlkisser-meme.gif
Collared,boykisser;collar;blush;suggestive,https://cdn.discordapp.com/attachments/1006574384397422592/1313140680708849674/attachment-16.gif?ex=691f1d0f&is=691dcb8f&hm=9b9c0d0b6927e4fbac30177a054ea993a90c91607306fcd1d0631593a3fcd067&,https://cdn.discordapp.com/attachments/1006574384397422592/1313140680708849674/attachment-16.gif?ex=691f1d0f&is=691dcb8f&hm=9b9c0d0b6927e4fbac30177a054ea993a90c91607306fcd1d0631593a3fcd067&
Click Clack,boykisser;typing,https://tenor.com/view/boykisser-typing-gif-4791856141335944100,https://c.tenor.com/QoAXxa8aW6QAAAAC/boykisser-typing.gif
Silly,silly,https://tenor.com/view/abbie-mindwave-starlight-bop-gif-14154909964882120505,https://c.tenor.com/xHBXnfxvjzkAAAAC/abbie-mindwave.gif
Uhm...,anime;uhm;um;nervous;shy,https://tenor.com/view/umm-anime-shy-cute-girl-gif-26701859,https://c.tenor.com/nCpG6RjY9GoAAAAC/umm-anime.gif
Buffering,anime;buffering,https://tenor.com/view/mai-sakurajima-sakurajima-mai-thinking-anime-girl-thinking-gif-23732831,https://c.tenor.com/eAqD-5MDzFAAAAAC/mai-sakurajima-sakurajima-mai.gif
Yell,anime;yell;shout,https://tenor.com/view/kyaru-karyl-chat-bubble-gif-26344022,https://c.tenor.com/DIW_H1w1RXoAAAAC/kyaru-karyl.gif
Hug,anime;hug,https://tenor.com/view/my-oni-girl-myonigirl-onigirl-oni-girl-myonigirl-tsumugi-gif-9571424918734276487,https://c.tenor.com/hNSIQIN6h4cAAAAC/my-oni-girl-myonigirl.gif
